H_0,meanZ,p_value,CI_lower,CI_upper,conclusion
err_baseline - err_linear,0.004440223441305321,0.820107343635248,-0.0427798440219892,0.03389939713937856,H_0 not rejected
err_baseline - err_ANN=0,0.019341601149272025,0.43851533547422517,-0.06835202746827301,0.029668825169728956,H_0 not rejected
err_ANN-err_linear=0,-0.014901377707966708,0.230475368284057,-0.009483070339515872,0.03928582575544929,H_0 not rejected
